city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Guangzhou,23.1300,113.2600,China,CN,Guangdong,admin,26940000,14498400
Shanghai,31.2286,121.4747,China,CN,Shanghai,admin,24073000,24870895
Beijing,39.9067,116.3975,China,CN,Beijing,primary,18522000,18522000
Shenzhen,22.5415,114.0596,China,CN,Guangdong,minor,17619000,12528300
Chengdu,30.6600,104.0633,China,CN,Sichuan,admin,14645000,16044700
Xi’an,34.2611,108.9422,China,CN,Shaanxi,admin,12328000,8989000
Chongqing,29.5637,106.5504,China,CN,Chongqing,admin,12135000,12135000
Baoding,38.8740,115.4640,China,CN,Hebei,minor,11544036,11544036
Linyi,35.1038,118.3564,China,CN,Shandong,,11018365,11018365
Dongguan,23.0210,113.7520,China,CN,Guangdong,minor,10646000,8342500
Tianjin,39.1336,117.2054,China,CN,Tianjin,admin,10368000,13866009
Wuhan,30.5934,114.3046,China,CN,Hubei,admin,10251000,10892900
Nanyang,32.9987,112.5292,China,CN,Henan,,9713112,9713112
Hangzhou,30.2670,120.1530,China,CN,Zhejiang,admin,9523000,9468000
Foshan,23.0214,113.1216,China,CN,Guangdong,minor,9498863,9498863
Tongshan,34.2040,117.2840,China,CN,Jiangsu,minor,9083790,9083790
Zhoukou,33.6250,114.6418,China,CN,Henan,minor,9026015,9026015
Ganzhou,25.8310,114.9330,China,CN,Jiangxi,minor,8970014,8970014
Heze,35.2343,115.4796,China,CN,Shandong,minor,8795939,8795939
Quanzhou,24.8744,118.6757,China,CN,Fujian,minor,8782285,8782285
Nanjing,32.0608,118.7789,China,CN,Jiangsu,admin,8422000,7260000
Jining,35.4151,116.5871,China,CN,Shandong,,8357897,8357897
Fuyang,32.8900,115.8140,China,CN,Anhui,,8200264,8200264
Shenyang,41.8025,123.4281,China,CN,Liaoning,admin,7964000,8294000
Shangqiu,34.4150,115.6560,China,CN,Henan,,7816831,7816831
Cangzhou,38.3047,116.8387,China,CN,Hebei,minor,7300783,7300783
Xingtai,37.0717,114.5048,China,CN,Hebei,,7111106,7111106
Zhumadian,33.0140,114.0220,China,CN,Henan,,7008427,7008427
Zhanjiang,21.2701,110.3575,China,CN,Guangdong,minor,6981236,6981236
Bijie,27.2840,105.2920,China,CN,Guizhou,,6899636,6899636
Yancheng,33.3482,120.1626,China,CN,Jiangsu,minor,6709629,6709629
Hengyang,26.8940,112.5720,China,CN,Hunan,,6645243,6645243
Zunyi,27.7220,107.0310,China,CN,Guizhou,,6606675,6606675
Shaoyang,27.2395,111.4679,China,CN,Hunan,,6563520,6563520
Shangrao,28.4551,117.9431,China,CN,Jiangxi,minor,6435300,6435300
Xinyang,32.1490,114.0910,China,CN,Henan,,6234401,6234401
Maoming,21.6627,110.9255,China,CN,Guangdong,minor,6174050,6174050
Jieyang,23.5510,116.3727,China,CN,Guangdong,minor,6089400,6089400
Liaocheng,36.4559,115.9852,China,CN,Shandong,minor,5952128,5952128
Huanggang,30.4537,114.8724,China,CN,Hubei,minor,5882719,5882719
Dalian,38.9000,121.6000,China,CN,Liaoning,,5871474,5871475
Qingdao,36.0669,120.3827,China,CN,Shandong,minor,5818255,5818256
Yulin,22.6540,110.1810,China,CN,Guangxi,minor,5796766,5796766
Qujing,25.4910,103.7960,China,CN,Yunnan,,5765775,5765775
Nangandao,35.3036,113.9268,China,CN,Henan,minor,5708191,5708191
Pudong,31.2347,121.5064,China,CN,Shanghai,minor,5681512,5681512
Zhengzhou,34.7640,113.6840,China,CN,Henan,admin,5621593,5621594
Dezhou,37.4360,116.3590,China,CN,Shandong,minor,5611194,5611194
Nanchong,30.8372,106.1106,China,CN,Sichuan,minor,5607565,5607565
Jinan,36.6702,117.0207,China,CN,Shandong,admin,5606374,5606375
Tai’an,36.2020,117.0870,China,CN,Shandong,,5472217,5472217
Langfang,39.5383,116.6835,China,CN,Hebei,minor,5464087,5464087
Dazhou,31.2093,107.4678,China,CN,Sichuan,minor,5385422,5385422
Suzhou,33.6333,116.9683,China,CN,Anhui,,5324476,5324476
Yongzhou,26.4200,111.6130,China,CN,Hunan,,5289824,5289824
Changde,29.0310,111.6990,China,CN,Hunan,minor,5279102,5279102
Xiangyang,32.0100,112.1220,China,CN,Hubei,minor,5260951,5260951
Zhaotong,27.3380,103.7170,China,CN,Yunnan,,5092611,5092611
Zhangzhou,24.5130,117.6470,China,CN,Fujian,minor,5054328,5054328
Yichun,27.8160,114.4170,China,CN,Jiangxi,minor,5007702,5007702
Bozhou,33.8626,115.7742,China,CN,Anhui,,4996844,4996844
Suqian,33.9331,118.2831,China,CN,Jiangsu,,4986192,4986192
Ji’an,27.0912,114.9668,China,CN,Jiangxi,minor,4956600,4956600
Guilin,25.2750,110.2960,China,CN,Guangxi,minor,4931137,4931137
Pingdingshan,33.7350,113.2999,China,CN,Henan,,4904701,4904701
Mianyang,31.4680,104.6790,China,CN,Sichuan,minor,4868243,4868243
Huanglongsi,34.7950,114.3450,China,CN,Henan,,4824016,4824016
Yuncheng,35.0267,111.0070,China,CN,Shanxi,,4774508,4774508
Changsha,28.2280,112.9390,China,CN,Hunan,admin,4766296,4766297
Weinan,34.5206,109.4710,China,CN,Shaanxi,minor,4688744,4688744
Chenzhou,25.7700,113.0160,China,CN,Hunan,minor,4667134,4667134
Jiangmen,22.5789,113.0815,China,CN,Guangdong,minor,4630300,4630300
Jiujiang,29.6610,115.9540,China,CN,Jiangxi,minor,4600276,4600276
Xinpu,34.5966,119.2214,China,CN,Jiangsu,minor,4599360,4599360
Yibin,28.7520,104.6430,China,CN,Sichuan,minor,4588804,4588804
